Genre,year,sum
Dance Pop,1985,215.2
Dance Pop,1986,0.8
Dance Pop,1987,176.00000000000003
Dance Pop,1989,164.25
Dance Pop,1992,596.9000000000001
Dance Pop,1993,61.6
Dance Pop,1994,803190.9999999999
Dance Pop,1995,7.2
Dance Pop,1996,5609.25
Dance Pop,1997,3223.7
Dance Pop,1999,16947.0
Dance Pop,2000,18961.75
Dance Pop,2001,1688.2
Dance Pop,2002,26713.700000000004
Dance Pop,2003,4745.0
Dance Pop,2004,4711.549999999999
Dance Pop,2005,49525.34999999997
Dance Pop,2006,117667.7999999999
Dance Pop,2007,8257.6
Dance Pop,2008,52979.7
Dance Pop,2009,119341.89999999998
Dance Pop,2010,137927.70000000004
Dance Pop,2011,152431.5500000001
Dance Pop,2012,85835.00000000001
Dance Pop,2013,176458.65
Dance Pop,2014,410271.95
Dance Pop,2015,1261342.2
Dance Pop,2016,14146483.750000002
Dance Pop,2017,43130134.300000004
Dance Pop,2018,31807542.55000001
Dance Pop,2019,12835743.600000001
Dance Pop,2020,9760070.95
Dance Rock,1979,31.20000000000001
Dance Rock,1982,36.8
Dance Rock,1985,14437.949999999999
Dance Rock,1986,948.3000000000001
Dance Rock,1987,57.6
Dance Rock,1992,316.95000000000005
Dance Rock,1998,0.8
Dance Rock,2000,23.20000000000001
Dance Rock,2017,245.6
Dancehall,2016,54928.89999999999
Dancehall,2017,44793.39999999999
Dancehall,2018,2028.5499999999997
Dancehall,2019,55505.950000000004
Dangdut,2017,176.64999999999995
Danish Electronic,2017,25454.85
Danish Electronic,2018,291.55
Danish Electronic,2019,55.2
Danish Electronic,2020,46.40000000000001
Danish Electropop,2017,48.8
Danish Electropop,2018,550.35
Danish Hip Hop,2017,73594.84999999999
Danish Hip Hop,2018,90251.7
Danish Hip Hop,2019,224173.25000000006
Danish Hip Hop,2020,84876.34999999995
Danish Pop,2003,256.0
Danish Pop,2015,137812.05000000002
Danish Pop,2016,709.6000000000001
Danish Pop,2017,13317.25
Danish Pop,2018,801632.4000000001
Danish Pop,2019,185502.50000000003
Danish Pop,2020,100851.55
Danspunk,2018,34.4
